id,accession date,credit line,display dimensions,coordinates,public display,district,location,description,source,medium,descriptive medium,artist,title
351,1990,Purchased by the San Francisco Art Commission for Pier 7,"17"" H X 102"" W X 102"" D","37.7869956,-122.3880306",Public Display,District 3,Embarcadero,Entrance to Pier 7,San Francisco Arts Commission,"granite, bronze",sunset red granite and bronze,"Gillman, Steve",Bay Bench
352,1990,Purchased by the San Francisco Art Commission for Pier 7,,"37.7869956,-122.3880306",Public Display,District 3,Embarcadero,Entrance to Pier 7,San Francisco Arts Commission,"granite, bronze",sunset red granite and bronze,"Gillman, Steve",Bay Bench
353,1990,Commissioned by the San Francisco Art Commission for the San Bruno Jail.,,"37.62869,-122.4563772",City Department,outside city,County Jail,"Skyline Blvd. and Longview Dr., San Bruno",San Francisco Arts Commission,glass,glass,"Kahn, Ned",The Greenhouse Project
354,1990,Gift of the Goddess of Democracy Project,Sculpture: 10' H ; Base: 5',"37.7947175,-122.4048688",Public Display,District 3,Portsmouth Square,upper level,San Francisco Arts Commission,bronze,bronze,"Marsh, Thomas",Goddess of Democracy
355,1991,Commissioned by the San Francisco Art Commission for the Richmond Police Station.,72 in. x 72 in.,"37.7798186,-122.464215",City Department,District 1,Richmond Police Station,"6th Ave. and Anza, Lobby Floor",San Francisco Arts Commission,"marble, granite, bronze","marble, granite and bronze","Bongers, Jaap (Jacob)",Untitled #1
356,1991,Commissioned by the San Francisco Art Commission for the Richmond Police Station.,48 in. x 48 in.,"37.7798186,-122.464215",City Department,District 1,Richmond Police Station,6th Ave. and Anza,San Francisco Arts Commission,granite,sandblasted granite,"Bongers, Jaap (Jacob)",Untitled #2
357,1991,Purchased by the San Francisco Art Commission for Kezar Stadium.,"Main Gate: 9' H X 17'6"" W","37.766807, -122.456238",Public Display,District 1,Kezar Stadium,"N, S and West gates",San Francisco Arts Commission,metal,galvanized metal,"Fleming, Alan",Kezar Stadium Gates
358,1991,Purchased by the San Francisco Art Commission for the Richmond Police Station.,,"37.7798186,-122.464215",City Department,District 1,Richmond Police Station,"6th Ave. and Anza, Front Door and T",San Francisco Arts Commission,glass,glass,"Jurs, Shelley",Good Luck Piece
359,1992,Purchased by the San Francisco Art Commission for the Moscone Center,"10.125"" W X 30"" (sheet)","37.7816901,-122.3940873",Public Display,District 6,Moscone Center,Esplanade,San Francisco Arts Commission,"oil, canvas, acrylic, wall, ceramic tile","mixed media: oil on canvas, acrylic on wall, glazed ceramic tiles","Liu, Hung",Map No. 33
360,1992,"San Francisco Art Commission/ Gift from Union Labor AFL-CIO (December 11, 1992)","Base: 54"" H X 20"" W X 24"" D Figure: 28"" H X 29"" W X 24"" D","37.7793133,-122.4184094",Public Display,District 6,City Hall,,San Francisco Arts Commission,bronze,bronze,"Reinertson, Lisa",John F. Shelley
361,1993,Commissioned by the Public Art Program for Firestation #37,,"37.7574923,-122.398967",Public Display,District 10,788 Wisconsin St.,,San Francisco Arts Commission,"bronze, copper",bronze and copper,Po Shu Wang,Scaling Harmonics
362,1993,Commissioned by the San Francisco Art Commission for the San Andreas Water Treatment Facility.,various; total Wall dimension is approx. 30' in length. Number of parts is 64.,"37.785344, -122.398057",City Department,District 6,"San Andreas Water Ozonation Facility, PUC",PUC,San Francisco Arts Commission,"photography, computer-generated text, sounds","photography, computer-generated text and sounds","Collins, Goto, Reiko",Aqua Pura
363,1993,Commissioned by the San Francisco Art Commission for the Bush-Polk Parking Garage.,"each 93"" X 36""","37.788547, -122.420069",City Department,District 3,Bush and Polk Parking Garage,DPT,San Francisco Arts Commission,aluminum,cast aluminum,"Hasson, Bruce",Trolleys
364,1993,Commissioned by the San Francisco Art Commission for the Ellis O'Farrell Parking Corporation.,275' L X 5' W,"37.785921, -122.407182",City Department,District 3,Ellis and O'Farrell Parking Garage,DPT,San Francisco Arts Commission,"aluminum, steel, fluorescent light, wood","painted aluminum, stainless steel, fluorescent light and wood feet","Sproat, Christopher Townsend",Spine
365,1994,Commissioned by the SFAC for the SF Downtown Parking Assoc and Dept of Parking,40 panels/ 8 per floor measuring 3 1/2 X 3 1/3 X 28' W,"37.7835988,-122.4047824",City Department,District 6,Mission Parking Garage,DPT,San Francisco Arts Commission,glass,"sandblasted, fused and cast glass","Quagliata, Narcissus",Oracle
366,1994,Commissioned by the San Francisco Art Commission for the San Francisco Police Department,,"37.7631512,-122.4219961",Public Display,District 9,,,San Francisco Arts Commission,aluminum,painted aluminum,Joesam.,Hope Flight
367,1994,Art enrichment for the Mission Police Station,,"37.762968, -122.422011",Public Display,District 8,Mission District Police Station,Juvenile Facility,San Francisco Arts Commission,aluminum,painted aluminum,Joesam.,Hope Flight
368,1994,Commissioned by the San Francisco Art Commission for San Francisco Police Department,,"37.7631512,-122.4219961",Public Display,District 9,San Francisco Mission District Juvenile Facility,,San Francisco Arts Commission,aluminum,painted aluminum,Joesam.,Hope Flight
369,1994,Commissioned by the San Francisco Art Commission for the San Francisco Police Department,,"37.7631512,-122.4219961",Public Display,District 9,San Francisco Mission District Juvenile Facility,,San Francisco Arts Commission,aluminum,painted aluminum,Joesam.,Hope Flight
370,1994,Commissione by the San Francisco Art Commission for the San Francisco Police Department,,"37.7631512,-122.4219961",Public Display,District 9,San Francisco Mission District Juvenile Facility,,San Francisco Arts Commission,aluminum,painted aluminum,Joesam.,Hope Flight
371,1994,Commissioned by the San Francisco Art Commission for the San Francisco Police Department,,"37.7631512,-122.4219961",Public Display,District 9,San Francisco Mission District Juvenile Facility,,San Francisco Arts Commission,aluminum,painted aluminum,Joesam.,Hope Flight
372,1994,Commissioned by the San Francisco Art Commission for the San Francisco Police Department,,"37.7631512,-122.4219961",Public Display,District 9,San Francisco Mission District Juvenile Facility,,San Francisco Arts Commission,aluminum,painted aluminum,Joesam.,Hope Flight
373,1994,Commissioned by the San Francisco Art Commission for the San Francisco Police Department,,"37.7631512,-122.4219961",Public Display,District 9,San Francisco Mission District Juvenile Facility,,San Francisco Arts Commission,aluminum,painted aluminum,Joesam.,Hope Flight
374,1994,Commissioned by the San Francisco Art Commission for the San Francisco Police Department,,"37.7631512,-122.4219961",Public Display,District 9,San Francisco Mission District Juvenile Facility,,San Francisco Arts Commission,aluminum,painted aluminum,Joesam.,Hope Flight
375,1994,Commissioned by the San Francisco Art Commission for the San Francisco Police Department,,"37.7631512,-122.4219961",Public Display,District 9,San Francisco Mission District Juvenile Facility,,San Francisco Arts Commission,aluminum,painted aluminum,Joesam.,Hope Flight
376,1994,Commissioned for the San Francisco Art Commission for the San Francisco Police Department,,"37.7631512,-122.4219961",Public Display,District 9,San Francisco Mission District Juvenile Facility,,San Francisco Arts Commission,aluminum,painted aluminum,Joesam.,Hope Flight
377,1994,Commissioned for the San Francisco Art Commission for the San Francisco Police Department,,"37.7631512,-122.4219961",Public Display,District 9,San Francisco Mission District Juvenile Facility,,San Francisco Arts Commission,aluminum,painted aluminum,Joesam.,Hope Flight
378,1994,Commissioned by the San Francisco Art Commission for the San Francisco Police Department,,"37.7631512,-122.4219961",Public Display,District 9,San Francisco Mission District Juvenile Facility,,San Francisco Arts Commission,aluminum,painted aluminum,Joesam.,Hope Flight
379,1994,Commissioned by the San Francisco Art Commission for the San Francisco Police Department,,"37.7631512,-122.4219961",Public Display,District 9,San Francisco Mission District Juvenile Facility,,San Francisco Arts Commission,aluminum,painted aluminum,Joesam.,Hope Flight
380,1994,Commissioned by the San Francisco Art Commission for the San Francisco Police Department,,"37.7631512,-122.4219961",Public Display,District 9,San Francisco Mission District Juvenile Facility,,San Francisco Arts Commission,aluminum,painted aluminum,Joesam.,Hope Flight
381,1994,Commissioned by the San Francisco Art Commission for the San Francisco Police Department,,"37.7631512,-122.4219961",Public Display,District 9,San Francisco Mission District Juvenile Facility,,San Francisco Arts Commission,aluminum,painted aluminum,Joesam.,Hope Flight
382,1994,Commissioned by the San Francisco Art Commission for the San Francisco Police Department,,"37.7631512,-122.4219961",Public Display,District 9,San Francisco Mission District Juvenile Facility,,San Francisco Arts Commission,aluminum,painted aluminum,Joesam.,Hope Flight
383,1994,Commissioned by the San Francisco Art Commission for the San Francisco Police Department,,"37.7631512,-122.4219961",Public Display,District 9,San Francisco Mission District Juvenile Facility,,San Francisco Arts Commission,aluminum,painted aluminum,Joesam.,Hope Flight
384,1994,Gift,"97 X 30 X 27 1/2 ""","37.7793133,-122.4184094",Public Display,District 6,City Hall,Mayor's Rotunda,San Francisco Arts Commission,bronze,cast bronze,"Anargyros, Spero",George Moscone
385,1994,Commissioned by the San Francisco Art Commission for San Francisco General Hospital,420 in. x 1080 in.,"37.7557795,-122.4044431",City Department,District 10,San Francisco General Hospital,Garden of Building 80,San Francisco Arts Commission,"plant material, soil, granite, crushed lava rock","plant material, soil, granite, crushed lava rock","Richards, Peter","Companion Place, a Complement to the Comfort Garden"
386,1994,Commissioned for the San Francisco Arts Commission for the San Francisco Police Department,"18 1/2""H X 9'8""W X 20' (l); 18 1/2""H X 12 3/4""W Framed panels","37.762968, -122.422011",City Department,District 9,Mission Police Station,"630 Valencia Street, Lobby",San Francisco Arts Commission,"fabricated stone, text panels, lighting",fabricated stone; text panels; lighting,"Dwyer, Gary",Seven Dancing Stones and Seven Dancing Stars Stories
387,1994,Commissioned for Fire Station #2 by SF Art Commission,,"37.797061, -122.410062",City Department,District 3,Fire Station #2,1340 Powell,San Francisco Arts Commission,"ceramic, glass, plexiglass, neon","ceramic, glass, plexiglass, neon","Wong, Al",Light Clouds
388,1995,Purchased by the San Francisco Arts Commission for SFGH Mental Health Rehabilitation Facility,,"37.7557795,-122.4044431",City Department,District 10,San Francisco General Hospital,"Skilled Mental Health Nursing Facility, Day Rooms",San Francisco Arts Commission,"pigment, canvas",pigment on canvas,"Gordon, David and Shum, Hilda",Column Vistas
389,1995,Purchased by the San Francisco Art Commission for the SFGH Mental Health Rehabilitation Facility,27 1/2' H X 16 'W X 16' D,"37.7557795,-122.4044431",City Department,District 10,San Francisco General Hospital,"Courtyard, Behavioral Center",San Francisco Arts Commission,"wood, glass, concrete","wood, glass, concrete","Gonzales, George",Wu Xing Pavilion
390,1995,Purchased by the San Francisco Art Commission for the Waterfront Transportation Project,60' H X 30' W X 30' D,"37.776651,-122.417975",Public Display,District 6,Embarcadero,north of Ballpark,San Francisco Arts Commission,"metal, paint",metal and paint,"Di Suvero, Mark",Sea Change
391,1995,Commissioned for the new Sheriff's Facility by the San Francisco Art Commission.,,"37.775109, -122.405107",City Department,District 6,Sheriff's Facility,"7th St. and Bryant, Exterior and Roof",San Francisco Arts Commission,"ceramic, glass, steel","ceramic, glass, steel","Hollis, Douglas",Ceramic Frit Windows and Mechanical Screens
392,1995,Commissioned for the New Sheriff's Facility,,"37.775252,-122.403768",Public Display,District 6,Sheriff's Facility,7th St. and Bryant,San Francisco Arts Commission,"redwood, steel","redwood, steel construction","Cheng, Carl",Heliostats
393,1995,Commissioned by the San Francisco Art Commission for the New Sheriff's Facility.,"18"" pavers throughout exterior entrance and interior lobby","37.775109, -122.405107",City Department,District 6,Sheriff's Facility,"7th St. and Bryant, Sidewalk",San Francisco Arts Commission,"concrete, tile",cast concrete and tile,"Scuri, Vicki",Sheriff Star Plaza
394,1995,Commissioned by the San Francisco Art Commission for the North and South Embarcadero Project,,"37.7976769,-122.3943387",Public Display,District 3,Embarcadero,,San Francisco Arts Commission,"bronze plaques, sidewalk, concrete pylons, enamel plaques",bronze plaques on sidewalk; concrete pylons with enamel-painted plaques,"Manwaring, Michael",Historic Signage Project
395,1995,Commissioned by the San Francisco Art Commission for the Waterfront Project.,2 1/2 miles X 5 feet,"37.8085303,-122.4120591",Public Display,District 3,Embarcadero,Waterfront,San Francisco Arts Commission,"concrete, glass","black concrete, with a strip of glass blocks, to be illuminated at night","Acconci, Saitowitz and Soloman",Promenade Ribbon
396,1995,Purchased by the San Francisco Art Commission for the Mental Health Rehabilitation Facility,,"37.758391, -122.406521",City Department,District 10,San Francisco General Hospital,Skilled Mental Health Nursing Facility,San Francisco Arts Commission,"aluminum, mosaic",aluminum sculpture with mosaic base,"Shum, Hilda",Fish Tale
397,1995,Commissioned by the San Francisco Art Commission  for the San Francisco Municipal Railway,"20' H X 13 '6"" W X 250' D","37.721592, -122.475221",Public Display,District 7,Muni Platform,19th Ave. at Holloway,San Francisco Arts Commission,"copper, steel, tile, plants","copper, structural steel, stainless steel, tile, plants, and multi-media",Hunter and Ghidini,19th Avenue Shelter at Winston Drive
398,1995,Commissioned by the San Francisco Art Commission for The San Francisco Municipal Railway,"20' H X 13' 6"" W X 300' D","37.721592, -122.475221",Public Display,District 7,Muni Platform,19th Ave. at Holloway,San Francisco Arts Commission,"copper, steel, tile, plants","copper, structural steel, stainless steel, tile, plants,",Hunter and Ghidini,19th Avenue Shelter at Holloway Avenue
399,1995,Commissioned for art enrichment of the Skilled Mental Health Facility,,"37.7557795,-122.4044431",City Department,District 10,San Francisco General Hospital,Behavioral Center,San Francisco Arts Commission,redwood,redwood,"Shively, Evan",Untitled
400,1995,Commissioned by the San Francisco Art Commission for the Tenderloin Children's Recreation Center.,"Seven figures, approximately 2 - 5 feet tall","37.784791,-122.415637",Public Display,District 6,Tenderloin Rec. Center,570 Ellis,San Francisco Arts Commission,steel,1/4 thick #836 galvanized steel,Joesam.,Folks in the 'Hood
401,1995,Commissioned by the San Francisco Art Commission for the Tenderloin Children's Recreation Center,"a) 6' 4"" H X 68"" W X 40""D; and b) 6' H X 64"" W X 40""D","37.784791,-122.415637",Public Display,District 5,Tenderloin Rec. Center,570 Ellis,San Francisco Arts Commission,"concrete, ceramic",concrete form with ceramic on top.,"Heavenston, Martha",a) Dancing in the Sea of Milk (woman); and b) African King with Animal Power (ma
402,1995,Commissioned by the San Francisco Art Commission for the Tenderloin Children's Recreation Center,Lobby Floor: Gameboard,"37.784791,-122.415637",Public Display,District 6,Tenderloin Rec. Center,570 Ellis,San Francisco Arts Commission,"glaze, ceramic tile",glaze on ceramic tiles,"Poethig, Johanna",Epic; Prediction; Gameboard; and H20
403,1996,Commissioned by the SF Art Commission for the San Francisco Main Library,,"37.778864,-122.415783",Library,District 6,San Fransisco Public Library,"Main, 100 Larkin St.",San Francisco Arts Commission,steel,stainless steel,"Aycock, Alice",Functional and Fantasy Stair
404,1996,Commissioned by the San Francisco Art Commission for San Francisco Municipal Railway. Collection of the City and County of San Francisco,"16 'H (max.) X 8 ' W (max.) X 4 1/2 "" D","37.7732589,-122.510037",Public Display,District 1,MUNI Turnaround,La Playa and Cabrillo,San Francisco Arts Commission,steel,stainless steel mesh over steel armature with photo-etched plaques.,"Beldner, Ray",Playland Revisited
405,1996,Commissioned by the San Francisco Art Commission for the San Francisco Main Library,,"37.778864,-122.415783",Library,District 6,San Fransisco Public Library,100 Larkin St.,San Francisco Arts Commission,steel,stainless steel,"Aycock, Alice",Cyclone Fragment
406,1996,Art enrichment for Fire Station #24,,"37.7531196,-122.4410438",City Department,District 8, Fire Station #24,100 Hoffman,San Francisco Arts Commission,bronze,bronze,"Bongers, Jaap (Jacob)",Fire
407,1996,Commissioned for art enrichment for Firestation #44,7 1/2' H X 20' W,"37.7165812,-122.4001425",City Department,District 9, Fire Station #44,1298 Girard Ave.,San Francisco Arts Commission,aluminum,painted aluminum,"Saltos, Elizabeth",Diagonal Relief
408,1996,Commissioned by the San Francisco Art Commission for the Taraval Police Station.,,"37.743697, -122.481493",City Department,District 4,Taraval Police Station,"2345 24th Ave., Lobby",San Francisco Arts Commission,ceramic,ceramic sculptural relief,"Gonzalez, Arthur",Peaceable Kingdom
409,1996,Commissioned by the San Francisco Art Commission for the Taraval Police Station.,,"37.743697, -122.481493",City Department,District 4,Taraval Police Station,"2345 24th Ave., Community Room entrance",San Francisco Arts Commission,fiberglass,fiberglass,"Donahue, Scott","Kate, Allan, Javier, Ting, Sloanie"
410,1996,Commissioned by the San Francisco Art Commission for the Public Library.,,"37.778864,-122.415783",Library,District 6,San Fransisco Public Library,"Main, 100 Larkin St.",San Francisco Arts Commission,"steel, mirrors, fiberoptic lighting","painted steel, mirrors and fiberoptic lighting","Blake, Nayland W.",Constellation
411,1996,Commission by the San Francisco Art Commission for the New Main Library,,"37.778864,-122.415783",Library,District 6,San Fransisco Public Library,"Main, 100 Larkin St.",San Francisco Arts Commission,"plaster, plastic",annotated library cards imbedded in artisan plaster forming walls,"Chamberlain, Ann and Hamilton, Ann",Untitled
412,1996,,,"37.778864,-122.415783",Library,District 6,San Fransisco Public Library,"Main, 100 Larkin St.",San Francisco Arts Commission,oil,oil,"Evans, Mark; Brown, Charlie",Into the Light
413,1996,Commissioned by the San Francisco Art Commission for Chinatown Branch of S.F. Public Library,,"37.7952221,-122.4098394",Library,District 3,San Fransisco Public Library,"Chinatown, 1135 Powell",San Francisco Arts Commission,"copper, aluminum ","copper, copper leaf, aluminum, and lighting","Yung, Rene",Take Root
414,1997,Commissioned by San Francisco Art Commission Public Art Program for Fire Station #39,,"37.739995, -122.458597",Public Display,District 7,Fire Station #39,North Facade,San Francisco Arts Commission,glass,glass,"McDonnell, Mark",Glass Rondella
415,1997,Commissioned by San Francisco Art Commission Public Art Program for Fire Station #39,"30"" diameter","37.739995, -122.458597",City Department,District 7,Fire Station #39,1091 Portola,San Francisco Arts Commission,glass,glass,"McDonnell, Mark",Glass Rondella
416,1997,Commissioned by the SFAC Public Art Program for the new Municipal Parking Garage at SFGH,,"37.7557795,-122.4044431",City Department,District 10,San Francisco General Hospital,"Parking Garage, Facade",San Francisco Arts Commission,"photographic images, glass",photographic images on glass,"Chamberlain, Ann",Untitled Photographic Images
417,1997,Art enrichment for the Bayview Police Station,"11' 6"" H X 66"" (dia)","37.7299279,-122.3973036",City Department,District 10,Bayview Police Station,345 Williams,San Francisco Arts Commission,"custom pre-concrete, integral color, crystals, minerals","custom pre-cast concrete with integral color, crystals and minerals","Riley, Cheryl",Granary Bobo Bench
418,1997,Art enrichment for Bayview Police Station,"24"" H X 20"" W X 5 3/4"" D","37.7299279,-122.3973036",City Department,District 10,Bayview Police Station,345 Williams,San Francisco Arts Commission,"copper, lacquer paint, electrical wiring","copper, lacquer paint, electrical wiring","Riley, Cheryl",Maasai Warrior Shield Light Sconces
419,1997,Art enrichment for Bayview Police Station,30',"37.7299279,-122.3973036",City Department,District 10,Bayview Police Station,"345 Williams, Entrance Lobby",San Francisco Arts Commission,"custom pre-concrete, integral color",custom pre-cast concrete with integral color,"Riley, Cheryl",Akamba Inlay Floor
420,1997,Gift of Dr. Carl Djerassi to San Francisco Public Library,"Dimensions of the letter ""L"" 18' H X 7' 3"" W","37.779063, -122.415792",Library,District 6,San Francisco Public Library,"Main, 100 Larkin St.",San Francisco Arts Commission,steel,stainless steel,"Rickey, George Warren",Double L Eccentric Gyratory
421,1997,Gift of Richard Blum to the city and county of San Francisco,"Bust: 29"" H X 28"" W X 18"" D; Base: 48"" H X 20"" W X 19 7/8"" D","37.7793133,-122.4184094",Public Display,District 6,City Hall,,San Francisco Arts Commission,"bronze, marble",bronze; marble base,"Reinerston, Lisa",Bust of Dianne Feinstein
422,1998,Commissioned as art enrichment for the district courthouse,"444""L floor X 444"" W; 60"" W X 72"" L panels;28"" H X 64"" W X 64"" W bench","37.780382,-122.41883",Public Display,District 6,Civic Center,Courthouse,San Francisco Arts Commission,"zinc, terrazzo, marble, glass, bronze","zinc, terrazzo and marble, cast glass and bronze","Preston, Anne",Family Court Waiting Area
423,1998,Commissioned for Art Enrichment of the District Courthouse,"104"" H X 40"" W X 10 1/2"" D each","37.780382,-122.41883",Public Display,District 6,Civic Center,,San Francisco Arts Commission,"steel, glass","stainless steel, glass","Paley, Albert",Courthouse Entry Doors
424,1998,Commissioned for Art Enrichment of the courthouse,varies,"37.780382,-122.41883",City Department,District 6,Civic Center Courthouse,"Jury Assembly Room, 400 McAllister ",San Francisco Arts Commission,"maple, steel, glass, lighting","maple, stainless steel, glass, lighting","deSoto, Lewis",Jury Assembly Room
425,1998,Artist funded by NEA and Susie Tompkins Buell Foundation,"48"" H X 36"" W X 24""D","37.7299279,-122.3973036",City Department,District 10,Bayview Police Station,345 Williams,San Francisco Arts Commission,"maple, clay, glass, bone, horn, ceramic beads, gold leaf","maple, clay, glass, bone, horn, ceramic beads, dutch gold leaf","Riley, Cheryl",On Target Podium
426,1998,Art enrichment funded in part by the Susie Tompkins Buell Foundation,,"37.729805,-122.399247",City Department,District 10,Bayview Police Station,345 Williams,San Francisco Arts Commission,bronze,bronze,"Riley, Cheryl",Indian Spoon Sconces
427,1998,Gift of the artist to the San Francisco Police Department,,"37.729805,-122.399247",City Department,District 10,Bayview Police Station,345 Williams,San Francisco Arts Commission,bronze,bronze,"Riley, Cheryl",Indian Spoon Sconces
428,1998,Gift of the Mexican Government to the San Francisco main Library,,"37.7243765,-122.4596396",Library,District 6,Main Library,,San Francisco Arts Commission,"pastel, charcoal","rembrandt medium pastel, charcoal","Chagoya, Enrique",Authors of Latin American Roots
429,1999,Commissioned for the San Francisco International Airport; Collection of the City and County of San Francisco,"17 1/2' X 17 1/2' square; each panel is 30"" square","37.615223,-122.389979",Airport,outside city,International Terminal,"Boarding Area G, Gate 94",San Francisco Arts Commission,porcelain enamel,porcelain enamel,"Carnwath, Squeak","Fly, Flight, Fugit"
430,1999,Commissioned for the San Francisco International Airport; Collection of the City and County of San Francisco.,19 1/2' H X 19 1/2' W,"37.615223,-122.389979",Airport,outside city,International Terminal,"Boarding Area G, Gate A7",San Francisco Arts Commission,mosaic tile,mosaic tile,Mandel and Sultan,Waiting
431,1999,Commissioned for the San Francisco International Airport; Collection of the City and County of San Francisco.,,"37.615223,-122.389979",Airport,outside city,International Terminal,"Boarding Area G, Arrivals corridor",San Francisco Arts Commission,"neon, argon, fluorescent light","neon, argon and fluorescent lighting","Sonnier, Keith",Ceiling Flood
432,1999,Commissioned for the San Francisco International Airport; Collection of the City and County of San Francisco,,"37.615223,-122.389979",Airport,outside city,International Terminal,Boarding Area G,San Francisco Arts Commission,ceramic tile,hand cut ceramic tile,rigo 99,Thinking of Balmy Alley
433,1999,Commissioned for the San Francisco International Airport; Collection of the City and County of San Francisco.,"180"" H X 240"" W","37.615223,-122.389979",Airport,outside city,International Terminal,"Boarding Area A, Departures, A4",San Francisco Arts Commission,ceramic tile,ceramic tile,"Frey, Viola",World Civilization
434,1999,Commissioned for art enrichment by the Public Art Program,"32"" H X 50"" L","37.742354,-122.4220004",Public Display,District 9,Mission Street,"at 30th, West Side",San Francisco Arts Commission,concrete,concrete,"Goggin, Brian",Others
435,1999,Commissioned for art enrichment by the Public Art Program,,"37.746956, -122.418937",Public Display,District 9,Mission Street,"Sidewalk, Between Precita and Cortla",San Francisco Arts Commission,concrete,concrete,"Goggin, Brian",Pavers
436,1999,Commissioned for art enrichment by the Public Art Program,"35"" H X 52"" L","37.7467769,-122.4191378",Public Display,District 9,Mission Street,"at Precitia, west side",San Francisco Arts Commission,concrete,concrete,"Goggin, Brian",Ballast
437,1999,Commissioned for art enrichment by the Public Art Program,"19"" H X 14 1/2""","37.7456473,-122.4198851",Public Display,District 9,Mission Street,"at Valencia, west side",San Francisco Arts Commission,concrete,concrete,"Goggin, Brian",Feed
438,1999,Commissioned for art enrichment by the Public Art Program,"19"" H X 14 1/2"" W","37.7456473,-122.4198851",Public Display,District 9,Mission Street,"at Valencia, west side",San Francisco Arts Commission,concrete,concrete,"Goggin, Brian",Eat
439,1999,Commissioned for art enrichment by the Public Art Program,"35"" H X 22"" W","37.7440438,-122.4209034",Public Display,District 9,Mission Street,"at 29th, west side",San Francisco Arts Commission,concrete,concrete,"Goggin, Brian",Bed
440,1999,Commissioned for art enrichment by the Public Art Program,"18"" H X 29"" L","37.7410238,-122.4228311",Public Display,District 9,Mission Street,"at Cortland, west side",San Francisco Arts Commission,concrete,concrete,"Goggin, Brian",Switch
441,1999,Commissioned for art enrichment by the Public Art Program,"12"" diameter","37.7431399,-122.4214819",Public Display,District 8,Mission Street,"at Virginia, east side",San Francisco Arts Commission,concrete,concrete,"Goggin, Brian",Hunt
442,1999,Commissioned for art enrichment by the Public Art Program,"18"" H X 12"" W","37.7514492,-122.4183776",Public Display,District 9,Mission Street,,San Francisco Arts Commission,concrete,concrete,"Goggin, Brian",Road
443,1999,Commissioned for art enrichment by the Public Art Program,"22"" H X 35"" L","37.7456473,-122.4198851",Public Display,District 9,Mission Street,"at Valencia, east side",San Francisco Arts Commission,concrete,concrete,"Goggin, Brian",Grow
444,1999,Commissioned for art enrichment by the Public Art Program,26' diameter,"37.795928, -122.410530",Public Display,District 3,Woh Hei Yuen Park,Powell St. Between Jackson and,San Francisco Arts Commission,granite,"black, yellow and red granite","Leong, Lampo",Tectonic Melange
445,1999,Commissioned for art enrichment by the Publi Art Program,,"37.7947175,-122.4048688",Public Display,District 3,Portsmouth Square,,San Francisco Arts Commission,concrete,cast concrete,"Fuller (Mcchesney), Mary",Lion
446,1999,Commissioned for art enrichment by the Public Art Program,"Varies from 144"" L to 15"" L X 23"" W to 15"" W","37.7947175,-122.4048688",Public Display,District 3,Portsmouth Square,,San Francisco Arts Commission,concrete,cast concrete,"Fuller (Mcchesney), Mary",Untitled
447,1999,Commissioned for art enrichment by the Publi Art Program,,"37.7947175,-122.4048688",Public Display,District 3,Portsmouth Square,,San Francisco Arts Commission,concrete,cast concrete,"Fuller (Mcchesney), Mary",Serpent Wall
448,1999,Commissioned for art enrichment by the Publi Art Program,,"37.7947175,-122.4048688",Public Display,District 3,Portsmouth Square,,San Francisco Arts Commission,concrete,cast concrete,"Fuller (Mcchesney), Mary",Lion
449,1999,Commissioned for art enrichment by the Publi Art Program,,"37.7947175,-122.4048688",Public Display,District 3,Portsmouth Square,,San Francisco Arts Commission,concrete,cast concrete,"Fuller (Mcchesney), Mary",Benches
450,1999,Commissioned by the San Francisco Art Commission for the Recreation and Park Department.,Wall length is approx. 30',"37.763852, -122.400093",Public Display,District 10,Jackson Playground,Arkansas St. and Mariposa,San Francisco Arts Commission, ceramic tile,glazed ceramic tile,"Sarantitis, Joshua",The Child Sees: Big Snail Fish
451,1999,Purchased by the Public Art Program for Chinatown Park,"varies from 30"" L X 30"" W to 52"" L X 42"" W","37.795928, -122.410530",Public Display,District 3,Woh Hei Yeun Park,Powell St. Between Jackson and,San Francisco Arts Commission,granite,granite,"Donahue, Marcia",Five Carved Stones
452,1999,Commissioned by the Public Art Program for San Francisco International Airport; Collection of the City and County of San Francisco,16' H X 24' W,"37.615223,-122.389979",Airport,outside city,International Terminal,"Boarding Area A, Gate A8",San Francisco Arts Commission,glass tile,glass tiles,"Chagoya, Enrique",Love Letters
453,1999,Commissioned by the Redevelopment Agency,,"37.7853921,-122.4312691",Public Display,District 5,Japan Town,Post St.,San Francisco Arts Commission,bronze,bronze,"Asawa, Ruth",Origami Fountains
454,1999,San Francisco Art Commission Public Art Project,,"37.7792703,-122.5018724",City Department,District 1, Fire Station #34,"Geary, at 41st Ave.",San Francisco Arts Commission,terracotta relief,terracotta relief,"Barth, Anders",Phoenix
455,1999,Commissioned for art enrichment of the 911 Emergency Center,"7' H X 63 'L overall; concrete tiles 12"" X 12""; resin tiles 4"" X 4"".","37.780975, -122.426374",City Department,District 5,911 Emergency Services Center,"1011 Turk St., Exterior",San Francisco Arts Commission,"concrete, gfrc tile, resin, mixed media, found objects","cast concrete, gfrc tile and resin, mixed media, found objects.","Riley, Cheryl",Angels of Mercy
456,1999,Commissioned by the Public Art Program for the Mission Library,,"37.778864,-122.415783",Library,District 9,Mission Library,,San Francisco Arts Commission,"linocut print, prisma color",linocut print; prisma color,"Montoya, Emmanuel C.","Deities of Knowledge, Culture and Literature"
